EVENT_DATE,PATH,EVENT_ID,MARKET_TYPE,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,HANDICAP,RUNNER_STATUS,IS_WINNER,HOME_TEAM,AWAY_TEAM,TOTAL_GOALS,HOME_SCORE,AWAY_SCORE,BEST_BACK_PRICE_60_MIN_PRIOR,BEST_LAY_PRICE_60_MIN_PRIOR,MATCHED_VOLUME_60_MIN_PRIOR,BEST_BACK_PRICE_30_MIN_PRIOR,BEST_LAY_PRICE_30_MIN_PRIOR,MATCHED_VOLUME_30_MIN_PRIOR,BEST_BACK_PRICE_1_MIN_PRIOR,BEST_LAY_PRICE_1_MIN_PRIOR,MATCHED_VOLUME_1_MIN_PRIOR,TOTAL_MATCHED_VOLUME,LAST_PREPLAY_PRICE
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,TEAM_A_1,247653749,Adelaide United +1,151478,Draw,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,4.9,5.8,,4.9,5.9,,4.9,5.7,,4.71,4.9
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,TEAM_A_1,247653749,Adelaide United +1,13098384,Sydney FC vs1,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,4.6,5.3,1.79,4.8,5.6,3.33,5.1,5.5,3.33,5.54,4.9
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,TEAM_A_1,247653749,Adelaide United +1,19843557,Adelaide United +1,0,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.57,1.71,4.73,1.55,1.71,4.73,1.57,1.71,4.73,89.41,1.74
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CLEAN_SHEET,247653750,Adelaide United Clean Sheet,30246,Yes,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,5.4,6,,5.3,5.8,1.54,5.2,5.6,78.42,79.94,5.3
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CLEAN_SHEET,247653750,Adelaide United Clean Sheet,110503,No,0,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.2,1.23,,1.21,1.24,,1.21,1.24,,60.11,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,WIN_BOTH_HALVES,247653751,Adelaide United Win Both Halves,30246,Yes,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,1.01,1000,,1.01,1000,,1.01,1000,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,WIN_BOTH_HALVES,247653751,Adelaide United Win Both Halves,110503,No,0,WINNER,1,Adelaide United,Sydney FC,3,2,1,,1000,,,1000,,,1000,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,TEAM_A_WIN_TO_NIL,247653752,Adelaide United Win to Nil,30246,Yes,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,6.8,7.8,,6.4,7.4,,6.4,7.4,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,TEAM_A_WIN_TO_NIL,247653752,Adelaide United Win to Nil,110503,No,0,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.14,1.17,,1.15,1.19,,1.15,1.19,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-4,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-4,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-3.75,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-3.75,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-3.5,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-3.5,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-3.25,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-3.25,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-3,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,7.62,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-3,LOSER,0,Adelaide United,Sydney FC,3,2,1,,,,,,,,,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-2.75,LOSER,0,Adelaide United,Sydney FC,3,2,1,12.97,17.12,,12.97,18.46,,12.97,18.86,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-2.75,LOSER,0,Adelaide United,Sydney FC,3,2,1,14.1,20.4,,13.48,18.64,,13.48,25.55,,30.03,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-2.5,LOSER,0,Adelaide United,Sydney FC,3,2,1,10.56,11.93,,10.76,13.28,,10.32,13.03,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-2.5,LOSER,0,Adelaide United,Sydney FC,3,2,1,12.19,14,,11.12,12.96,,12.22,15.28,,440.16,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-2.25,LOSER,0,Adelaide United,Sydney FC,3,2,1,11.56,13.28,,10,12.31,,9.99,14.35,,360.83,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-2.25,LOSER,0,Adelaide United,Sydney FC,3,2,1,8.69,11.25,,10.18,12.55,,9.77,12.34,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-2,LOSER,0,Adelaide United,Sydney FC,3,2,1,10.94,12.67,,9.42,11.59,,9.41,13.56,,1462.34,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-2,LOSER,0,Adelaide United,Sydney FC,3,2,1,8.19,10.58,,9.59,11.83,,9.22,12.08,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-1.75,LOSER,0,Adelaide United,Sydney FC,3,2,1,6.13,6.79,,6.28,7.55,,6.22,7.59,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-1.75,LOSER,0,Adelaide United,Sydney FC,3,2,1,6.83,7.8,,6.25,7.41,,6.81,8.34,,170.01,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-1.5,LOSER,0,Adelaide United,Sydney FC,3,2,1,5.38,5.83,,4.84,5.57,,5.02,6.18,,261.93,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-1.5,LOSER,0,Adelaide United,Sydney FC,3,2,1,4.65,5.19,,4.85,5.5,,4.77,5.57,,420.1,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-1.25,LOSER,0,Adelaide United,Sydney FC,3,2,1,4.28,4.71,,4.42,5.16,,4.17,5.02,,443.67,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-1.25,LOSER,0,Adelaide United,Sydney FC,3,2,1,4.76,5.26,,4.42,5.04,,4.64,5.6,,387.69,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-1,LOSER,0,Adelaide United,Sydney FC,3,2,1,4.38,4.81,2.5,3.83,4.54,2.5,4.14,4.96,2.5,377.31,4.44
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-1,LOSER,0,Adelaide United,Sydney FC,3,2,1,3.82,4.21,,3.99,4.62,,3.87,4.38,395.54,436.54,4.38
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-0.75,LOSER,0,Adelaide United,Sydney FC,3,2,1,2.96,3.19,,3.05,3.46,,2.86,3.37,,96.87,3.15
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-0.75,WINNER,1,Adelaide United,Sydney FC,3,2,1,3.26,3.5,,2.93,3.33,,3.1,3.66,,724.74,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-0.5,LOSER,0,Adelaide United,Sydney FC,3,2,1,2.52,2.62,1287.87,2.64,2.68,1315.22,2.54,2.64,2146.85,8660.07,2.6
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-0.5,WINNER,1,Adelaide United,Sydney FC,3,2,1,2.76,2.86,591.94,2.68,2.73,784.96,2.76,2.84,871.72,28760.95,2.79
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,-0.25,LOSER,0,Adelaide United,Sydney FC,3,2,1,2.18,2.3,,2.27,2.48,,2.21,2.34,470.4,2072.26,2.23
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,-0.25,WINNER,1,Adelaide United,Sydney FC,3,2,1,2.37,2.52,45.76,2.26,2.47,45.76,2.35,2.52,45.76,2125.23,2.44
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,1.87,1.96,93.84,1.95,2.06,93.84,1.9,1.96,418.81,3723.23,1.94
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,0,WINNER,1,Adelaide United,Sydney FC,3,2,1,2.08,2.14,362.41,1.99,2.11,362.41,2.04,2.19,362.41,2663.04,2.08
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,0.25,LOSER,0,Adelaide United,Sydney FC,3,2,1,1.66,1.72,300,1.71,1.8,300,1.68,1.75,478.13,2137.09,1.69
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,0.25,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.77,1.85,41.27,1.71,1.8,41.27,1.75,1.83,859.52,1917.03,1.81
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,0.5,LOSER,0,Adelaide United,Sydney FC,3,2,1,1.54,1.58,430.31,1.57,1.63,490.31,1.55,1.57,1220.36,1946.14,1.56
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,0.5,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.62,1.68,26.31,1.58,1.66,26.31,1.62,1.65,37.12,259.98,1.6
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,0.75,LOSER,0,Adelaide United,Sydney FC,3,2,1,1.4,1.44,,1.42,1.51,,1.39,1.48,,706.52,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,0.75,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.46,1.51,,1.41,1.49,,1.45,1.54,,0.19,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,1,LOSER,0,Adelaide United,Sydney FC,3,2,1,1.26,1.29,8.55,1.28,1.31,8.55,1.27,1.31,8.55,746.73,1.29
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,1,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.31,1.34,6629.04,1.29,1.33,6636.55,1.29,1.31,8269.39,8269.66,1.31
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,1.25,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.27,1.3,203.25,1.25,1.3,203.25,1.25,1.27,636.77,2406.1,1.27
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,1.25,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.23,1.26,,1.25,1.3,,1.22,1.28,,564.17,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,1.5,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.2,1.23,,1.22,1.25,,1.17,1.24,,443.59,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,1.5,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.24,1.27,100.61,1.22,1.26,100.61,1.22,1.25,1017.51,1038.16,1.24
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,1.75,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.14,1.17,,1.16,1.19,,1.14,1.19,,720.08,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,1.75,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.17,1.19,,1.16,1.18,,1.16,1.2,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,2,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.1,1.13,,1.09,1.11,,1.09,1.13,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,2,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.08,1.1,,1.09,1.11,,1.08,1.11,,693.39,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,2.25,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.08,1.1,,1.09,1.11,,1.07,1.13,,270.17,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,2.25,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.09,1.11,,1.09,1.11,,1.08,1.12,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,2.5,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.07,1.09,,1.08,1.1,,1.07,1.1,,543.68,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,2.5,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.09,1.11,141.78,1.08,1.1,141.78,1.08,1.1,141.78,141.78,1.09
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,2.75,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.05,1.06,,1.05,1.07,,1.04,1.07,,270.91,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,2.75,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.06,1.08,,1.05,1.07,,1.05,1.08,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,3,WINNER,1,Adelaide United,Sydney FC,3,2,1,,970,,1.01,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,3,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.01,970,,1.01,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,3.25,WINNER,1,Adelaide United,Sydney FC,3,2,1,,970,,,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,3.25,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.01,970,,1.01,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,3.5,WINNER,1,Adelaide United,Sydney FC,3,2,1,,970,,,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,3.5,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.01,970,,,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,3.75,WINNER,1,Adelaide United,Sydney FC,3,2,1,,970,,,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,3.75,WINNER,1,Adelaide United,Sydney FC,3,2,1,,970,,,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,571273,Adelaide United,4,WINNER,1,Adelaide United,Sydney FC,3,2,1,,970,,,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,ASIAN_HANDICAP,247653680,Asian Handicap,1205121,Sydney FC,4,WINNER,1,Adelaide United,Sydney FC,3,2,1,,970,,,970,,,970,,,
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,BOTH_TEAMS_TO_SCORE,247653748,Both teams to Score?,110503,No,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,3,3.1,614.21,3.05,3.1,617.31,2.84,2.96,718.89,1930.2,2.88
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,BOTH_TEAMS_TO_SCORE,247653748,Both teams to Score?,30246,Yes,0,WINNER,1,Adelaide United,Sydney FC,3,2,1,1.48,1.49,1031.67,1.47,1.49,1100.86,1.51,1.53,1699.56,5312.49,1.53
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CORRECT_SCORE,247653670,Correct Score,3,1 vs 1,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,9.2,9.4,228.09,9.2,9.4,348.3,8.8,9,604.96,1278.21,8.8
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CORRECT_SCORE,247653670,Correct Score,11,3 vs 1,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,23,24,102.82,22,23,114.35,23,25,203.9,414.81,25
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CORRECT_SCORE,247653670,Correct Score,15,1 vs 3,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,21,22,108.17,21,23,131.95,22,23,184.7,276.98,23
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CORRECT_SCORE,247653670,Correct Score,14,2 vs 3,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,25,26,48.37,25,26,56.68,26,27,92.74,158.96,26
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CORRECT_SCORE,247653670,Correct Score,8,1 vs 2,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,11.5,12,97.69,11.5,12,143.85,11.5,12,267.92,376.9,12
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CORRECT_SCORE,247653670,Correct Score,7,2 vs 2,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,12.5,13,99.7,12.5,13,245.61,12.5,13,394.57,936.29,12.5
2025-10-17 00:00:00.000 Z,Australian Soccer/Australian A-League Men/Fixtures 17 Oct/Adelaide United v Sydney FC,34722689,CORRECT_SCORE,247653670,Correct Score,9063256,Any Other Draw,0,LOSER,0,Adelaide United,Sydney FC,3,2,1,230,260,10.49,210,260,18.56,230,300,74.21,100.05,220
